item#   |filename          |x           |y	   totalitems=018
001     |M055_Av.bmp       |+80	        |-60 
002     |M055_Di.bmp       |  0	        |-60 
003     |M053_Av.bmp       |-80	        |-60 
004     |M053_Di.bmp       |+80	        |  0  
005     |M062_Av.bmp       |-80	        |  0 
006     |M062_Di.bmp       |+80	        |+60 
007     |M058_Av.bmp       |  0	        |+60 
008     |M058_Di.bmp       |-80	        |+60 
009     |M059_Av.bmp       |+80	        |-60 
010     |M059_Di.bmp       |  0	        |-60 
011     |M112_Av.bmp       |-80	        |-60 
012     |M112_Di.bmp       |+80	        |  0 
013     |M061_Av.bmp       |-80	        |  0  
014     |M061_Di.bmp       |+80	        |+60 
015     |M060_Av.bmp       |  0	        |+60 
016     |M060_Di.bmp       |-80	        |+60 
017     |M066_Av.bmp       |+80	        |-60 
018     |M066_Di.bmp       |  0	        |-60 
