item#|fixX|fixY|totalitems=99
01   |   0|   0|           
02   | -50|   0|  
03   |  50|   0|                   
04   |-100|   0|                   
05   | 100|   0|         
06   |-150|   0|  
07   | 150|   0|                   
08   |-200|   0|           
09   | 200|   0|  
10   |-250|   0|                   
11   | 250|   0|                   
12   |   0|  50|           
13   | -50|  50|  
14   |  50|  50|                   
15   |-100|  50|                   
16   | 100|  50|         
17   |-150|  50|  
18   | 150|  50|                   
19   |-200|  50|           
20   | 200|  50|  
21   |-250|  50|                   
22   | 250|  50|
23   |   0| -50|           
24   | -50| -50|  
25   |  50| -50|                   
26   |-100| -50|                   
27   | 100| -50|         
28   |-150| -50|  
29   | 150| -50|                   
30   |-200| -50|           
31   | 200| -50|  
32   |-250| -50|                   
33   | 250| -50|     
34   |   0| 100|           
35   | -50| 100|  
36   |  50| 100|                   
37   |-100| 100|                   
38   | 100| 100|         
39   |-150| 100|  
40   | 150| 100|                   
41   |-200| 100|           
42   | 200| 100|  
43   |-250| 100|                   
44   | 250| 100|
45   |   0|-100|           
46   | -50|-100|  
47   |  50|-100|                   
48   |-100|-100|                   
49   | 100|-100|         
50   |-150|-100|  
51   | 150|-100|                   
52   |-200|-100|           
53   | 200|-100|  
54   |-250|-100|                   
55   | 250|-100|   
56   |   0| 150|           
57   | -50| 150|  
58   |  50| 150|                   
59   |-100| 150|                   
60   | 100| 150|         
61   |-150| 150|  
62   | 150| 150|                   
63   |-200| 150|           
64   | 200| 150|  
65   |-250| 150|                   
66   | 250| 150|
67   |   0|-150|           
68   | -50|-150|  
69   |  50|-150|                   
70   |-100|-150|                   
71   | 100|-150|         
72   |-150|-150|  
73   | 150|-150|                   
74   |-200|-150|           
75   | 200|-150|  
76   |-250|-150|                   
77   | 250|-150|  
78   |   0| 200|           
79   | -50| 200|  
80   |  50| 200|                   
81   |-100| 200|                   
82   | 100| 200|         
83   |-150| 200|  
84   | 150| 200|                   
85   |-200| 200|           
86   | 200| 200|  
87   |-250| 200|                   
88   | 250| 200|
89   |   0|-200|           
90   | -50|-200|  
91   |  50|-200|                   
92   |-100|-200|                   
93   | 100|-200|         
94   |-150|-200|  
95   | 150|-200|                   
96   |-200|-200|           
97   | 200|-200|  
98   |-250|-200|                   
99   | 250|-200|   
