item#   |filename          |x           |y	   totalitems=016
001     |M001_Av.bmp       |-80	        |+60       |1 
002     |M001_Di.bmp       |  0	        |+60       |1 
003     |M002_Av.bmp       |+80	        |+60       |2 
004     |M002_Di.bmp       |-80	        |  0       |2 
005     |M004_Av.bmp       |+80	        |  0       |3 
006     |M004_Di.bmp       |-80	        |-60       |3 
007     |M005_Av.bmp       |  0	        |-60       |4 
008     |M005_Di.bmp       |+80	        |-60       |4 
009     |M007_Av.bmp       |-80	        |+60       |5 
010     |M007_Di.bmp       |  0	        |+60       |5 
011     |M008_Av.bmp       |+80	        |+60       |6 
012     |M008_Di.bmp       |-80	        |  0       |6 
013     |M010_Av.bmp       |+80	        |  0       |7 
014     |M010_Di.bmp       |-80	        |-60       |7 
015     |M013_Av.bmp       |  0	        |-60       |8 
016     |M013_Di.bmp       |+80	        |-60       |8 
017     |M086_Av.bmp       |-80	        |+60       |1 
018     |M086_Di.bmp       |  0	        |+60       |1 
