item#   |filename              totalitems=050
001     |B_Gibbon_Stella.bmp
002     |field.bmp
003     |1_train_Plonk.bmp
004     |2dogs.bmp
005     |17_train_Plonk.bmp
006     |27_train_Plonk.bmp
007     |36_train_Plonk.bmp
008     |39_train_Plonk.bmp
009     |abc1011.bmp
010     |clothes1.bmp
011     |groom2.bmp
012     |qt.bmp
013     |levobj005.bmp
014     |29_train_Plonk.bmp
015     |cophead.bmp
016     |paco221.bmp
017     |feedme46.bmp
018     |faucet.bmp
019     |fractal1.bmp
020     |land30.bmp
021     |Sgpsw.bmp
022     |suck01.bmp
023     |18_train_Plonk.bmp
024     |abc1040.bmp
025     |B_Arctic_Eagle2.bmp
026     |landsc44.bmp
027     |levobj019.bmp
028     |paco220.bmp
029     |paco306.bmp
030     |struct01.bmp
031     |Train_monk1.bmp
032     |Train_monk2_baby.bmp
033     |Train_monk3_pair.bmp
034     |bug1.bmp
035     |C_palar.bmp
036     |paco221.bmp
037     |nature61.bmp
038     |levobj013.bmp
039     |land21.bmp
040     |junk1.bmp
041     |Train_monk16_eyes_forward.bmp
042     |Train_monk4_Baby_face.bmp
043     |pob15.bmp
044     |30_train_Plonk.bmp
045     |abc1007.bmp
046     |fractal2.bmp
047     |land02.bmp
048     |flower2.bmp
049     |feedme80.bmp
050     |vpc1044.bmp
