item#|fixX|fixY|totalitems=32
01   |   0|   0| 
02   |   0|   0|
03   |   0|   0|
04   |   0|   0|
05   |   0|   0|
06   |   0|   0|          
07   | 150|   0|  
08   |   0|   0|
09   |-150|   0|           
10   |   0|   0|           
11   |   0| 150|           
12   |   0|   0|           
13   |   0|-150|         
14   |   0|   0|  
15   | 100| 100|           
16   |   0|   0|  
17   | 100|-100|
18   |   0|   0|           
19   |-100|-100|           
20   |   0|   0|           
21   |-100| 100|           
22   |   0|   0|         
18   | -50| 100|           
19   |   0|   0|  
20   |-100|  50|
21   |   0|   0|           
22   | 100|  50|           
23   |   0|   0|           
24   |  50| 100|           
25   |   0|   0| 
26   |  50|-100|           
27   |   0|   0|  
28   | 100| -50|
29   |   0|   0|           
30   |-100| -50|           
31   |   0|   0|           
32   | -50|-100|           
   
