Scenario - Fixate Movie Choice
Logfile written - 08/16/2017 11:13:52

Trial	Event Type	Code	x(num)	y(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start			75829	0	1	167	1	0	next	other	0
2	Picture	start			126327	0	1	9166	1	0	next	other	0
3	Picture	start			135493	0	1	155	179	0	next	other	0
4	Picture	start			249987	0	1	167	1	0	next	other	0
5	Picture	start			300485	0	1	3166	1	0	next	other	0
6	Picture	start			303651	0	1	334	1	0	next	other	0
7	Picture	start			371814	0	1	166	1	0	next	other	0
8	Picture	start			422312	0	1	8166	1	0	next	other	0
9	Picture	start			430478	0	1	167	1	0	next	other	0
10	Picture	start			552139	0	1	167	1	0	next	other	0
11	Picture	start			602636	0	1	4167	1	0	next	other	0
12	Picture	start			606803	0	1	7833	1	0	next	other	0
13	Picture	start			1319767	0	1	167	1	0	next	other	0
14	Picture	start			1370264	0	1	4166	1	0	next	other	0
15	Picture	start			1374431	0	1	167	1	0	next	other	0
16	Picture	start			1420595	0	1	167	1	0	next	other	0
17	Picture	start			1471092	0	1	3833	1	0	next	other	0
18	Picture	start			1474925	0	1	2833	2	0	next	other	0
19	Picture	start			1616585	0	1	167	1	0	next	other	0
20	Picture	start			1667083	0	1	8166	1	0	next	other	0
21	Picture	start			1675249	0	1	167	1	0	next	other	0
22	Picture	start			1794409	0	1	167	1	0	next	other	0
23	Picture	start			1844907	0	1	8166	1	0	next	other	0
24	Picture	start			1853073	0	1	13999	1	0	next	other	0
25	Picture	start			2039397	0	1	167	1	0	next	other	0
26	Picture	start			2089895	0	1	3667	1	0	next	other	0
27	Picture	start			2093561	0	1	167	1	0	next	other	0
28	Picture	start			2229554	0	1	167	1	0	next	other	0
29	Picture	start			2280052	0	1	6000	1	0	next	other	0
30	Picture	start			2286051	0	1	333	1	0	next	other	0
