Scenario - 
Logfile written - 06/09/2009 11:10:17

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

6	Response	41	129016	7462	1
6A	Response	42	171495	19929	1
7	Response	41	173815	2240	1
7	Response	42	175734	4159	2
7	Response	41	176534	4959	2
7	Response	42	179174	7599	2
7	Response	41	179974	8399	1
7	Response	42	181014	9439	1
7	Response	41	181654	10079	2
8	Response	42	182934	1188	1
8A	Response	41	183094	158	1
8A	Response	42	184531	1595	4
8A	Response	41	185334	2398	1
8A	Response	42	186054	3118	1
8A	Response	41	187254	4318	1
8A	Response	42	188054	5118	2
8A	Quit		195804	12868	
