item#   |filename              totalitems=050
001     |Training_india_monkey_sitting.bmp
002     |Training_monkey_sit.bmp
003     |Training_Swan.bmp
004     |Training_MongolianHorses.bmp
005     |Training_saltwater-crocodile.bmp
006     |Training_ladybugs.bmp
007     |vpc1040.bmp
008     |482005.bmp
009     |feedme50.bmp
010     |car2.bmp
011     |Training_monkey_call.bmp
012     |Train_monk12_baby_face.bmp
013     |Training_gorilla.bmp
014     |Training_Horny_Toad.bmp
015     |Training_lab_mice.bmp
016     |feedme28.bmp
017     |vpc1060.bmp
018     |land03.bmp
019     |feedme64.bmp
020     |chair1.bmp
021     |Training_Rhesus_cliff.bmp
022     |Training_monkey_night.bmp
023     |Training_hedgehog.bmp
024     |Training_black_locust_swarm_.bmp
025     |Training_flying-bat.bmp
026     |vpc2078.bmp
027     |truffle.bmp
028     |land04.bmp
029     |fruit2.bmp
030     |clothes3.bmp
031     |Training_Macaque_groom.bmp
032     |Training_Macaque_threat.bmp
033     |Training_golden-snub-nose-monkey.bmp
034     |Training_Flamingos.bmp
035     |Training_Grizzly_Bear_Cubs.bmp
036     |vpc1008.bmp
037     |paco411.bmp
038     |land01.bmp
039     |feedme69.bmp
040     |comp1.bmp
041     |Train_monk5_pair_baby.bmp
042     |Train_monk11_bridge.bmp
043     |Training_OrangMale_tree.bmp
044     |Training_rabbit_pair_wBaby.bmp
045     |Training_Scarab-Beetle.bmp
046     |struct22.bmp
047     |paco469.bmp
048     |landsc19.bmp
049     |feedme040.bmp
050     |car1.bmp
