cnd#|left|rght|LposX|LposY|RposX|RposY	totalconditions=018
001 |001 |002 |-175 |+200 |+375 |-225
002 |002 |001 |-175 |+200 |+375 |-225
003 |001 |002 |-175 |+200 |+375 |+200
004 |002 |001 |-175 |+200 |+375 |+200
005 |001 |002 |+375 |-225 |+375 |+200
006 |002 |001 |+375 |-225 |+375 |+200
007 |001 |003 |-175 |+200 |+375 |-225
008 |003 |001 |-175 |+200 |+375 |-225
009 |001 |003 |-175 |+200 |+375 |+200
010 |003 |001 |-175 |+200 |+375 |+200
011 |001 |003 |+375 |-225 |+375 |+200
012 |003 |001 |+375 |-225 |+375 |+200
013 |002 |003 |-175 |+200 |+375 |-225
014 |003 |002 |-175 |+200 |+375 |-225
015 |002 |003 |-175 |+200 |+375 |+200
016 |003 |002 |-175 |+200 |+375 |+200
017 |002 |003 |+375 |-225 |+375 |+200
018 |003 |002 |+375 |-225 |+375 |+200
