item#   |imagename          	|reward              |totalitems=40
01      |cy6dk050.bmp       	|09
01      |cy6dk112.bmp       	|09
03      |cy6dk120.bmp       	|09
04      |cy6dk166.bmp       	|09
05      |cy6dk185.bmp       	|09
06      |cy6dk205.bmp       	|09
07      |cy6dk214.bmp       	|09
08      |cy6dk220.bmp       	|09
09      |cy6dk230.bmp       	|09
10      |cy6dk300.bmp       	|09
11      |cy11d003.bmp       	|00
12      |cy11d051.bmp       	|00
13      |cy11d061.bmp       	|00
14      |cy11d136.bmp       	|00
15      |cy11d166.bmp       	|00
16      |cy11d186.bmp       	|00
17      |cy11d208.bmp       	|00
18      |cy11d221.bmp       	|00
19      |cy11d229.bmp       	|00
20      |cy11d297.bmp       	|00
21      |cy3dk002.bmp       	|01
21      |cy3dk014.bmp       	|01
23      |cy3dk033.bmp       	|01
24      |cy3dk051.bmp       	|01
25      |cy3dk100.bmp       	|01
26      |cy3dk129.bmp       	|01
27      |cy3dk145.bmp       	|01
28      |cy3dk183.bmp       	|01
29      |cy3dk273.bmp       	|01
30      |cy3dk290.bmp       	|01
31      |cy1dk004.bmp       	|05
32      |cy1dk033.bmp       	|05
33      |cy1dk063.bmp       	|05
34      |cy1dk105.bmp       	|05
35      |cy1dk200.bmp       	|05
36      |cy1dk212.bmp       	|05
37      |cy1dk236.bmp       	|05
38      |cy1dk269.bmp       	|05
39      |cy1dk284.bmp       	|05
40      |cy1dk300.bmp       	|05
