item#   |imagename          	|reward              |totalitems=40
01      |cy1lf001.bmp       	|09
01      |cy1lf038.bmp       	|09
03      |cy1lf085.bmp       	|09
04      |cy1lf117.bmp       	|09
05      |cy1lf170.bmp       	|09
06      |cy1lf185.bmp       	|09
07      |cy1lf244.bmp       	|09
08      |cy1lf293.bmp       	|09
09      |cy1lf300.bmp       	|09
10      |cy1lf300.bmp       	|09
11      |cy2lf003.bmp       	|00
12      |cy2lf023.bmp       	|00
13      |cy2lf040.bmp       	|00
14      |cy2lf083.bmp       	|00
15      |cy2lf067.bmp       	|00
16      |cy2lf105.bmp       	|00
17      |cy2lf113.bmp       	|00
18      |cy2lf140.bmp       	|00
19      |cy2lf246.bmp       	|00
20      |cy2lf276.bmp       	|00
21      |cybis009.bmp       	|01
21      |cybis019.bmp       	|01
23      |cybis029.bmp       	|01
24      |cybis042.bmp       	|01
25      |cybis056.bmp       	|01
26      |cybis087.bmp       	|01
27      |cybis114.bmp       	|01
28      |cybis160.bmp       	|01
29      |cybis194.bmp       	|01
30      |cybis282.bmp       	|01
31      |cygrs002.bmp       	|05
32      |cygrs005.bmp       	|05
33      |cygrs075.bmp       	|05
34      |cygrs109.bmp       	|05
35      |cygrs172.bmp       	|05
36      |cygrs179.bmp       	|05
37      |cygrs196.bmp       	|05
38      |cygrs227.bmp       	|05
39      |cygrs285.bmp       	|05
40      |cygrs300.bmp       	|05
