cnd#	|left	  |right   |test1   |test2       totalconditions=040
001	|001	  |006	   |        |       
002	|006	  |001     |        |      
003	|002	  |007     |        |      
004	|007	  |002     |        |      
005	|003	  |008     |        |      
006	|008	  |003     |        |      
007	|004	  |009     |        |      
008	|009	  |004     |        |      
009	|005	  |010     |        |       
010	|010	  |005     |        |      
011	|011	  |016	   |        |       
012	|016	  |011     |        |      
013	|012	  |017     |        |      
014	|017	  |012     |        |      
015	|013	  |018     |        |      
016	|018	  |013     |        |      
017	|014	  |019     |        |      
018	|019	  |014     |        |      
019	|015	  |020     |        |       
020	|020	  |015     |        |      
021	|001	  |016	   |        |       
022	|016	  |001     |        |      
023	|002	  |017     |        |      
024	|017	  |002     |        |      
025	|003	  |018     |        |      
026	|018	  |003     |        |      
027	|004	  |019     |        |      
028	|019	  |004     |        |      
029	|005	  |020     |        |       
030	|020	  |005     |        |      
031	|011	  |006	   |        |       
032	|006	  |011     |        |      
033	|012	  |007     |        |      
034	|007	  |012     |        |      
035	|013	  |008     |        |      
036	|008	  |013     |        |      
037	|014	  |009     |        |      
038	|009	  |014     |        |      
039	|015	  |010     |        |       
040	|010	  |015     |        |      
