cnd#	|left	  |right   |test1   |test2       totalconditions=030
001	|041	  |021	   |        |       
002	|021	  |041     |        |      
003	|041	  |022     |        |      
004	|022	  |041     |        |      
005	|041	  |023     |        |      
006	|023	  |041     |        |      
007	|041	  |024     |        |      
008	|024	  |041     |        |      
009	|041	  |025     |        |       
010	|025	  |041     |        |      
011	|041	  |001	   |        |       
012	|001	  |041     |        |      
013	|041	  |002     |        |      
014	|002	  |041     |        |      
015	|041	  |003     |        |      
016	|003	  |041     |        |      
017	|041	  |004     |        |      
018	|004	  |041     |        |      
019	|041	  |005     |        |       
020	|005	  |041     |        |      
021	|041	  |031	   |        |       
022	|031	  |041     |        |      
023	|041	  |032     |        |      
024	|032	  |041     |        |      
025	|041	  |033     |        |      
026	|033	  |041     |        |      
027	|041	  |034     |        |      
028	|034	  |041     |        |      
029	|041	  |035     |        |       
030	|035	  |041     |        |      
