cnd#	|left	  |right   |test1   |test2       totalconditions=189
001	|001	  |011	   |        |       
002	|001	  |012	   |        |       
003	|001	  |013	   |        |       
004	|001	  |014	   |        |       
005	|001	  |015	   |        |       
006	|001	  |016	   |        |       
007	|001	  |017	   |        |       
008	|001	  |018	   |        |       
009	|001	  |019	   |        |       
010	|001	  |020	   |        |       
011	|011	  |001     |        |      
012	|012	  |001     |        |      
013	|013	  |001     |        |      
014	|014	  |001     |        |      
015	|015	  |001     |        |      
016	|016	  |001     |        |      
017	|017	  |001     |        |      
018	|018	  |001     |        |      
019	|019	  |001     |        |      
020	|020	  |001     |        |     
021	|002	  |011	   |        |       
022	|002	  |012	   |        |       
023	|002	  |013	   |        |       
024	|002	  |014	   |        |       
025	|002	  |015	   |        |       
026	|002	  |016	   |        |       
027	|002	  |017	   |        |       
028	|002	  |018	   |        |       
029	|002	  |019	   |        |       
030	|002	  |020	   |        |       
031	|011	  |002     |        |      
032	|012	  |002     |        |      
033	|013	  |002     |        |      
034	|014	  |002     |        |      
035	|015	  |002     |        |      
036	|016	  |002     |        |      
037	|017	  |002     |        |      
038	|018	  |002     |        |      
039	|019	  |002     |        |      
040	|020	  |002     |        |     
041	|003	  |011	   |        |       
042	|003	  |012	   |        |       
043	|003	  |013	   |        |       
044	|003	  |014	   |        |       
045	|003	  |015	   |        |       
046	|003	  |016	   |        |       
047	|003	  |017	   |        |       
048	|003	  |018	   |        |       
049	|003	  |019	   |        |       
050	|003	  |020	   |        |       
051	|011	  |003     |        |      
052	|012	  |003     |        |      
053	|013	  |003     |        |      
054	|014	  |003     |        |      
055	|015	  |003     |        |      
056	|016	  |003     |        |      
057	|017	  |003     |        |      
058	|018	  |003     |        |      
059	|019	  |003     |        |      
060	|020	  |003     |        |     
061	|004	  |011	   |        |       
062	|004	  |012	   |        |       
063	|004	  |013	   |        |       
064	|004	  |014	   |        |       
065	|004	  |015	   |        |       
066	|004	  |016	   |        |       
067	|004	  |017	   |        |       
068	|004	  |018	   |        |       
069	|004	  |019	   |        |       
070	|004	  |020	   |        |       
071	|011	  |004     |        |      
072	|012	  |004     |        |      
073	|013	  |004     |        |      
074	|014	  |004     |        |      
075	|015	  |004     |        |      
076	|016	  |004     |        |      
077	|017	  |004     |        |      
078	|018	  |004     |        |      
079	|019	  |004     |        |      
080	|020	  |004     |        |     

091	|005	  |011	   |        |       
