Scenario - Touch Movie Choice
Logfile written - 06/14/2016 09:55:31

Trial	Event Type	Code	x(num)	y(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	Picture	start			17326	0	1	500	1	0	next	other	0
2	Picture	stim			42317	0	1	167	1	0	next	other	0
3	Picture	start			73305	0	1	500	1	0	next	other	0
4	Picture	stim			98296	0	1	167	1	0	next	other	0
5	Picture	start			128784	0	1	500	1	0	next	other	0
6	Picture	stim			153775	0	1	167	1	0	next	other	0
7	Picture	start			184263	0	1	500	1	0	next	other	0
8	Picture	stim			209254	0	1	167	1	0	next	other	0
9	Picture	start			239742	0	1	500	1	0	next	other	0
10	Picture	stim			264733	0	1	167	1	0	next	other	0
11	Picture	start			296221	0	1	500	1	0	next	other	0
12	Picture	stim			321211	0	1	167	1	0	next	other	0
13	Picture	start			352532	0	1	500	1	0	next	other	0
14	Picture	stim			377523	0	1	167	1	0	next	other	0
15	Picture	start			408678	0	1	500	1	0	next	other	0
16	Picture	stim			433668	0	1	167	1	0	next	other	0
17	Picture	start			464823	0	1	500	1	0	next	other	0
18	Picture	stim			489814	0	1	167	1	0	next	other	0
19	Picture	start			520136	0	1	500	1	0	next	other	0
20	Picture	stim			545126	0	1	167	1	0	next	other	0
21	Picture	start			575448	0	1	500	1	0	next	other	0
22	Picture	stim			600438	0	1	167	1	0	next	other	0
23	Picture	start			630760	0	1	500	1	0	next	other	0
24	Picture	stim			655751	0	1	161	15	0	next	other	0
25	Picture	start			686072	0	1	500	1	0	next	other	0
26	Picture	stim			711063	0	1	167	1	0	next	other	0
27	Picture	start			741385	0	1	500	1	0	next	other	0
28	Picture	stim			766375	0	1	167	1	0	next	other	0
29	Picture	start			796697	0	1	500	1	0	next	other	0
30	Picture	stim			821688	0	1	167	1	0	next	other	0
31	Picture	start			852843	0	1	500	1	0	next	other	0
32	Picture	stim			877833	0	1	167	1	0	next	other	0
33	Picture	start			907988	0	1	500	1	0	next	other	0
34	Picture	stim			932979	0	1	167	1	0	next	other	0
35	Picture	start			963800	0	1	500	1	0	next	other	0
36	Picture	stim			988791	0	1	167	1	0	next	other	0
37	Picture	start			1020112	0	1	500	1	0	next	other	0
38	Picture	stim			1045103	0	1	167	1	0	next	other	0
39	Picture	start			1076258	0	1	500	1	0	next	other	0
40	Picture	stim			1101248	0	1	167	1	0	next	other	0
41	Picture	start			1131237	0	1	500	1	0	next	other	0
42	Picture	stim			1156227	0	1	167	1	0	next	other	0
43	Picture	start			1187216	0	1	500	1	0	next	other	0
44	Picture	stim			1212206	0	1	167	1	0	next	other	0
45	Picture	start			1243361	0	1	500	1	0	next	other	0
46	Picture	stim			1268351	0	1	167	1	0	next	other	0
47	Picture	start			1298507	0	1	500	1	0	next	other	0
48	Picture	stim			1323497	0	1	167	1	0	next	other	0
49	Picture	start			1353819	0	1	500	1	0	next	other	0
50	Picture	stim			1378809	0	1	167	1	0	next	other	0
51	Picture	start			1409631	0	1	500	1	0	next	other	0
52	Picture	stim			1434622	0	1	167	1	0	next	other	0
53	Picture	start			1464610	0	1	500	1	0	next	other	0
54	Picture	stim			1489601	0	1	167	1	0	next	other	0
55	Picture	start			1520589	0	1	500	1	0	next	other	0
56	Picture	stim			1545579	0	1	167	1	0	next	other	0
57	Picture	start			1575735	0	1	500	1	0	next	other	0
58	Picture	stim			1600725	0	1	167	1	0	next	other	0
59	Picture	start			1630880	0	1	500	1	0	next	other	0
60	Picture	stim			1655871	0	1	167	1	0	next	other	0
61	Picture	start			1686193	0	1	500	1	0	next	other	0
62	Picture	stim			1711183	0	1	167	1	0	next	other	0
63	Picture	start			1742171	0	1	500	1	0	next	other	0
64	Picture	stim			1767162	0	1	167	1	0	next	other	0
65	Picture	start			1798317	0	1	500	1	0	next	other	0
66	Picture	stim			1823307	0	1	167	1	0	next	other	0
67	Picture	start			1853962	0	1	500	1	0	next	other	0
68	Picture	stim			1878953	0	1	167	1	0	next	other	0
69	Picture	start			1910274	0	1	500	1	0	next	other	0
70	Picture	stim			1935265	0	1	167	1	0	next	other	0
71	Picture	start			1965587	0	1	500	1	0	next	other	0
72	Picture	stim			1990577	0	1	167	1	0	next	other	0
73	Picture	start			2021399	0	1	500	1	0	next	other	0
74	Picture	stim			2046389	0	1	167	1	0	next	other	0
75	Picture	start			2077544	0	1	500	1	0	next	other	0
76	Picture	stim			2102535	0	1	167	1	0	next	other	0
77	Picture	start			2133356	0	1	500	1	0	next	other	0
78	Picture	stim			2158347	0	1	167	1	0	next	other	0
79	Picture	start			2189502	0	1	500	1	0	next	other	0
80	Picture	stim			2214492	0	1	167	1	0	next	other	0
81	Picture	start			2244814	0	1	500	1	0	next	other	0
82	Picture	stim			2269804	0	1	167	1	0	next	other	0
83	Picture	start			2300126	0	1	500	1	0	next	other	0
84	Picture	stim			2325117	0	1	167	1	0	next	other	0
85	Picture	start			2354939	0	1	500	1	0	next	other	0
86	Picture	stim			2379929	0	1	167	1	0	next	other	0
87	Picture	start			2409918	0	1	500	1	0	next	other	0
88	Picture	stim			2434908	0	1	167	1	0	next	other	0
89	Picture	start			2464897	0	1	500	1	0	next	other	0
90	Picture	stim			2489887	0	1	167	1	0	next	other	0
91	Picture	start			2520876	0	1	500	1	0	next	other	0
92	Picture	stim			2545866	0	1	163	15	0	next	other	0
93	Picture	start			2576188	0	1	500	1	0	next	other	0
94	Picture	stim			2601178	0	1	167	1	0	next	other	0
95	Picture	start			2632333	0	1	500	1	0	next	other	0
96	Picture	stim			2657324	0	1	167	1	0	next	other	0
97	Picture	start			2687979	0	1	500	1	0	next	other	0
98	Picture	stim			2712969	0	1	167	1	0	next	other	0
99	Picture	start			2743958	0	1	500	1	0	next	other	0
100	Picture	stim			2768948	0	1	167	1	0	next	other	0
101	Picture	start			2799437	0	1	500	1	0	next	other	0
102	Picture	stim			2824427	0	1	167	1	0	next	other	0
103	Picture	start			2854416	0	1	500	1	0	next	other	0
104	Picture	stim			2879406	0	1	167	1	0	next	other	0
105	Picture	start			2909561	0	1	500	1	0	next	other	0
106	Picture	stim			2934552	0	1	167	1	0	next	other	0
107	Picture	start			2965707	0	1	500	1	0	next	other	0
108	Picture	stim			2990697	0	1	167	1	0	next	other	0
109	Picture	start			3021852	0	1	500	1	0	next	other	0
110	Picture	stim			3046843	0	1	167	1	0	next	other	0
111	Picture	start			3077331	0	1	500	1	0	next	other	0
112	Picture	stim			3102322	0	1	167	1	0	next	other	0
113	Picture	start			3133643	0	1	500	1	0	next	other	0
114	Picture	stim			3158634	0	1	167	1	0	next	other	0
115	Picture	start			3188456	0	1	500	1	0	next	other	0
116	Picture	stim			3213446	0	1	167	1	0	next	other	0
117	Picture	start			3243601	0	1	500	1	0	next	other	0
118	Picture	stim			3268592	0	1	167	1	0	next	other	0
119	Picture	start			3299580	0	1	500	1	0	next	other	0
120	Picture	stim			3324570	0	1	167	1	0	next	other	0
121	Picture	start			3355892	0	1	500	1	0	next	other	0
122	Picture	stim			3380882	0	1	167	1	0	next	other	0
123	Picture	start			3411204	0	1	500	1	0	next	other	0
124	Picture	stim			3436195	0	1	167	1	0	next	other	0
125	Picture	start			3467183	0	1	500	1	0	next	other	0
126	Picture	stim			3492174	0	1	167	1	0	next	other	0
127	Picture	start			3522495	0	1	500	1	0	next	other	0
128	Picture	stim			3547486	0	1	167	1	0	next	other	0
129	Picture	start			3577641	0	1	500	1	0	next	other	0
130	Picture	stim			3602632	0	1	167	1	0	next	other	0
131	Picture	start			3632787	0	1	500	1	0	next	other	0
132	Picture	stim			3657777	0	1	167	1	0	next	other	0
133	Picture	start			3688766	0	1	500	1	0	next	other	0
134	Picture	stim			3713756	0	1	167	1	0	next	other	0
135	Picture	start			3743745	0	1	500	1	0	next	other	0
136	Picture	stim			3768735	0	1	167	1	0	next	other	0
137	Picture	start			3799890	0	1	500	1	0	next	other	0
138	Picture	stim			3824880	0	1	167	1	0	next	other	0
139	Picture	start			3855869	0	1	500	1	0	next	other	0
140	Picture	stim			3880859	0	1	167	1	0	next	other	0
141	Picture	start			3911181	0	1	500	1	0	next	other	0
142	Picture	stim			3936172	0	1	167	1	0	next	other	0
143	Picture	start			3967160	0	2	500	2	0	next	other	0
144	Picture	stim			3992150	0	1	167	1	0	next	other	0
145	Picture	start			4022472	0	1	500	1	0	next	other	0
146	Picture	stim			4047463	0	1	167	1	0	next	other	0
147	Picture	start			4078617	0	1	500	1	0	next	other	0
148	Picture	stim			4103608	0	1	167	1	0	next	other	0
149	Picture	start			4134763	0	1	500	1	0	next	other	0
150	Picture	stim			4159753	0	1	167	1	0	next	other	0
151	Picture	start			4190908	0	1	500	1	0	next	other	0
152	Picture	stim			4215899	0	1	167	1	0	next	other	0
153	Picture	start			4247220	0	1	500	1	0	next	other	0
154	Picture	stim			4272211	0	1	167	1	0	next	other	0
155	Picture	start			4303199	0	1	500	1	0	next	other	0
156	Picture	stim			4328189	0	1	167	1	0	next	other	0
157	Picture	start			4359344	0	1	500	1	0	next	other	0
158	Picture	stim			4384335	0	1	167	1	0	next	other	0
159	Picture	start			4414656	0	1	500	1	0	next	other	0
160	Picture	stim			4439647	0	1	167	1	0	next	other	0
161	Picture	start			4469636	0	1	500	1	0	next	other	0
162	Picture	stim			4494626	0	1	167	1	0	next	other	0
163	Picture	start			4524448	0	1	500	1	0	next	other	0
164	Picture	stim			4549439	0	1	167	1	0	next	other	0
165	Picture	start			4579594	0	1	500	1	0	next	other	0
166	Picture	stim			4604584	0	1	167	1	0	next	other	0
167	Picture	start			4634573	0	1	500	1	0	next	other	0
168	Picture	stim			4659563	0	1	167	1	0	next	other	0
169	Picture	start			4690885	0	1	500	1	0	next	other	0
170	Picture	stim			4715875	0	1	167	1	0	next	other	0
171	Picture	start			4746197	0	1	500	1	0	next	other	0
172	Picture	stim			4771188	0	1	167	1	0	next	other	0
173	Picture	start			4802176	0	1	500	1	0	next	other	0
174	Picture	stim			4827166	0	1	167	1	0	next	other	0
175	Picture	start			4857655	0	1	500	1	0	next	other	0
176	Picture	stim			4882646	0	1	166	2	0	next	other	0
177	Picture	start			4913967	0	1	500	1	0	next	other	0
178	Picture	stim			4938957	0	1	167	1	0	next	other	0
179	Picture	start			4970279	0	1	500	1	0	next	other	0
180	Picture	stim			4995269	0	1	167	1	0	next	other	0
181	Picture	start			5025591	0	1	500	1	0	next	other	0
182	Picture	stim			5050582	0	1	167	1	0	next	other	0
183	Picture	start			5081736	0	1	500	1	0	next	other	0
184	Picture	stim			5106727	0	1	167	1	0	next	other	0
185	Picture	start			5137049	0	1	500	1	0	next	other	0
186	Picture	stim			5162039	0	1	167	1	0	next	other	0
187	Picture	start			5191861	0	1	500	1	0	next	other	0
188	Picture	stim			5216852	0	1	167	1	0	next	other	0
189	Picture	start			5247007	0	1	500	1	0	next	other	0
190	Picture	stim			5271998	0	1	167	1	0	next	other	0
191	Picture	start			5303152	0	1	500	1	0	next	other	0
192	Picture	stim			5328143	0	1	167	1	0	next	other	0
193	Picture	start			5359298	0	1	500	1	0	next	other	0
194	Picture	stim			5384288	0	1	167	1	0	next	other	0
195	Picture	start			5414443	0	1	500	1	0	next	other	0
196	Picture	stim			5439434	0	1	167	1	0	next	other	0
197	Picture	start			5470422	0	1	500	1	0	next	other	0
198	Picture	stim			5495413	0	1	167	1	0	next	other	0
199	Picture	start			5526401	0	1	500	1	0	next	other	0
200	Picture	stim			5551392	0	1	167	1	0	next	other	0
201	Picture	start			5582213	0	1	500	1	0	next	other	0
202	Picture	stim			5607204	0	1	167	1	0	next	other	0
203	Picture	start			5638192	0	1	500	1	0	next	other	0
204	Picture	stim			5663182	0	1	167	1	0	next	other	0
205	Picture	start			5694504	0	1	500	1	0	next	other	0
206	Picture	stim			5719494	0	1	167	1	0	next	other	0
207	Picture	start			5749649	0	1	500	1	0	next	other	0
208	Picture	stim			5774640	0	1	167	1	0	next	other	0
209	Picture	start			5804629	0	1	500	1	0	next	other	0
210	Picture	stim			5829619	0	1	167	1	0	next	other	0
211	Picture	start			5859774	0	1	500	1	0	next	other	0
212	Picture	stim			5884765	0	1	167	1	0	next	other	0
213	Picture	start			5915087	0	1	500	1	0	next	other	0
214	Picture	stim			5940077	0	1	167	1	0	next	other	0
215	Picture	start			5970566	0	1	500	1	0	next	other	0
216	Picture	stim			5995556	0	1	167	1	0	next	other	0
217	Picture	start			6025545	0	1	500	1	0	next	other	0
218	Picture	stim			6050535	0	1	167	1	0	next	other	0
219	Picture	start			6081690	0	1	500	1	0	next	other	0
220	Picture	stim			6106681	0	1	167	1	0	next	other	0
221	Picture	start			6137169	0	1	500	1	0	next	other	0
222	Picture	stim			6162160	0	1	167	1	0	next	other	0
223	Picture	start			6193148	0	1	500	1	0	next	other	0
224	Picture	stim			6218138	0	1	167	1	0	next	other	0
225	Picture	start			6249293	0	1	500	1	0	next	other	0
226	Picture	stim			6274284	0	1	167	1	0	next	other	0
227	Picture	start			6305438	0	1	500	1	0	next	other	0
228	Picture	stim			6330429	0	1	166	2	0	next	other	0
229	Picture	start			6360418	0	1	500	1	0	next	other	0
230	Picture	stim			6385408	0	1	167	1	0	next	other	0
231	Picture	start			6416563	0	1	500	1	0	next	other	0
232	Picture	stim			6441553	0	1	167	1	0	next	other	0
233	Picture	start			6471542	0	1	500	1	0	next	other	0
234	Picture	stim			6496533	0	1	167	1	0	next	other	0
235	Picture	start			6526688	0	1	500	1	0	next	other	0
236	Picture	stim			6551678	0	1	166	1	0	next	other	0
237	Picture	start			6582666	0	1	500	1	0	next	other	0
238	Picture	stim			6607657	0	1	167	1	0	next	other	0
239	Picture	start			6637979	0	1	500	1	0	next	other	0
240	Picture	stim			6662969	0	1	167	1	0	next	other	0
241	Picture	start			6693791	0	1	500	1	0	next	other	0
242	Picture	stim			6718782	0	1	167	1	0	next	other	0
243	Picture	start			6749936	0	1	500	1	0	next	other	0
244	Picture	stim			6774927	0	1	167	1	0	next	other	0
245	Picture	start			6805249	0	1	500	1	0	next	other	0
246	Picture	stim			6830239	0	1	167	1	0	next	other	0
247	Picture	start			6860894	0	1	500	1	0	next	other	0
248	Picture	stim			6885885	0	1	167	1	0	next	other	0
249	Picture	start			6916206	0	1	500	1	0	next	other	0
250	Picture	stim			6941197	0	1	167	1	0	next	other	0
