item#|fixX|fixY|totalitems=32
01   |   0|   0|           
02   | 150|   0|  
03   |   0|   0|
04   |-150|   0|           
05   |   0|   0|           
06   |   0| 150|           
07   |   0|   0|           
08   |   0| -75|         
09   |   0|   0|  
10   | 100| 100|           
11   |   0|   0|  
12   | 100|-100|
13   |   0|   0|           
14   |-100|-100|           
15   |   0|   0|           
16   |-100| 100|           
17   |   0|   0|         
18   | -50| 100|           
19   |   0|   0|  
20   |-100|  50|
21   |   0|   0|           
22   | 100|  50|           
23   |   0|   0|           
24   |  50| 100|           
25   |   0|   0| 
26   |  50|-100|           
27   |   0|   0|  
28   | 100| -50|
29   |   0|   0|           
30   |-100| -50|           
31   |   0|   0|           
32   | -50|-100|           
   
