Scenario - 
Logfile written - 02/13/2009 10:33:44

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

2	Picture	C	10170	0	1	10171	2	0	10000
3	Picture	D	30512	0	1	10171	2	0	10000
4	Picture	B	50687	0	1	10069	277	0	10000
5	Picture	E	70862	0	1	10171	2	0	10000
6	Picture	A	91029	0	316	10012	317	0	10000
7	Picture	B	111379	0	1	10170	3	0	10000
8	Picture	E	131554	0	1	10171	2	0	10000
9	Picture	A	151729	0	1	10171	2	0	10000
10	Picture	C	171904	0	1	10171	2	0	10000
11	Picture	D	191969	0	158	10114	159	0	10000
12	Picture	E	212087	0	1	10171	2	0	10000
13	Picture	A	232262	0	1	10171	2	0	10000
14	Picture	C	252604	0	1	10171	2	0	10000
15	Picture	B	272946	0	1	8271	2	0	10000
15	Quit		280351	7405	
